Customers,Quantity,Date,Total Payment in TND
Arab Banking Corporation (ABC),96,2015-05-25,1554816
Amen Bank (AB),106,2021-02-14,1557246
Banque Nationale Agricole (BNA),54,2005-05-29,613494
Banque de l'Habitat (BH),144,2022-04-07,1834848
Arab Tunisian Bank (ATB),105,2005-11-22,1150485
Banque Nationale Agricole (BNA),30,2009-09-25,415920
Banque Tuniso-Libyenne (BTL),86,2006-07-01,1644406
Banque Internationale Arabe de Tunisie (BIAT),94,2023-10-28,1469314
Banque Internationale Arabe de Tunisie (BIAT),53,2001-12-20,591215
Banque de l'Habitat (BH),50,2010-06-05,599800
Arab Banking Corporation (ABC),91,2007-04-08,1768312
Banque de Tunisie (BT),131,2002-11-12,1415324
Amen Bank (AB),176,2021-07-06,2352944
Banque Tuniso-Libyenne (BTL),144,2012-09-30,2804544
Arab Banking Corporation (ABC),30,2023-11-03,503340
Banque Nationale Agricole (BNA),154,2010-09-14,1789480
Arab Banking Corporation (ABC),76,2011-04-24,1042568
Arab Tunisian Bank (ATB),107,2012-11-12,1667595
Attijari Bank,151,2016-01-28,2287801
Arab Banking Corporation (ABC),133,2010-08-12,2039156
Banque Internationale Arabe de Tunisie (BIAT),32,2014-03-10,471744
Arab Tunisian Bank (ATB),112,2019-09-20,1529136
La Poste Tunisienne,151,2015-06-20,1893540
Banque de l'Habitat (BH),60,2013-07-02,608640
Banque de l'Habitat (BH),144,2003-12-07,2488464
Amen Bank (AB),151,2005-05-08,2903428
Banque Nationale Agricole (BNA),106,2018-10-02,1661126
Banque de l'Habitat (BH),180,2023-08-30,3344760
Attijari Bank,171,2001-02-17,2403063
Arab Banking Corporation (ABC),54,2018-02-25,825660
Arab Banking Corporation (ABC),141,2016-05-03,2220891
Banque Internationale Arabe de Tunisie (BIAT),168,2019-08-19,3080784
Banque de Tunisie (BT),135,2015-09-27,1858680
Attijari Bank,51,2006-08-07,932739
Banque de Tunisie (BT),123,2015-03-05,1457796
Arab Tunisian Bank (ATB),36,2004-04-10,488916
Banque de l'Habitat (BH),80,2002-07-29,1115440
Arab Banking Corporation (ABC),127,2015-03-08,1512951
Arab Banking Corporation (ABC),66,2013-07-23,822162
La Poste Tunisienne,146,2021-01-16,1885006
Banque Tuniso-Libyenne (BTL),93,2010-05-27,1522689
Banque de Tunisie (BT),192,2017-12-27,2821824
Banque Tuniso-Libyenne (BTL),73,2021-06-27,1196470
Banque de l'Habitat (BH),35,2004-12-14,515760
Banque Nationale Agricole (BNA),57,2011-08-27,648546
Amen Bank (AB),85,2010-12-02,1499570
Amen Bank (AB),163,2011-11-18,2457714
Attijari Bank,136,2002-11-08,2649960
Banque de Tunisie (BT),171,2006-03-19,3372804
Banque de l'Habitat (BH),39,2012-08-05,498264
Banque Internationale Arabe de Tunisie (BIAT),149,2008-11-28,1928954
La Poste Tunisienne,40,2007-01-24,445560
Banque de Tunisie (BT),154,2020-08-03,1795640
Banque Nationale Agricole (BNA),75,2019-08-29,1452900
Banque Tuniso-Libyenne (BTL),156,2002-10-16,2765100
Arab Tunisian Bank (ATB),22,2020-12-20,294602
La Poste Tunisienne,182,2018-03-28,3152786
Arab Tunisian Bank (ATB),130,2008-12-07,1841060
Banque de Tunisie (BT),131,2007-07-17,1635928
Attijari Bank,163,2020-11-29,3145411
Banque de Tunisie (BT),94,2005-06-17,1570176
Attijari Bank,196,2011-07-31,2284576
Banque de Tunisie (BT),130,2006-02-07,2332330
Arab Banking Corporation (ABC),126,2015-12-08,1452528
Arab Banking Corporation (ABC),140,2010-03-01,1973160
Banque Nationale Agricole (BNA),99,2001-01-13,1004454
Arab Tunisian Bank (ATB),189,2010-05-09,2691549
Banque de l'Habitat (BH),136,2021-06-07,2326688
La Poste Tunisienne,78,2000-07-31,1266798
Banque Tuniso-Libyenne (BTL),186,2010-04-09,3593148
Banque Internationale Arabe de Tunisie (BIAT),102,2000-08-30,1056822
Attijari Bank,53,2017-03-22,632396
Banque de l'Habitat (BH),115,2002-08-21,1252350
Banque Tuniso-Libyenne (BTL),95,2015-05-25,1548310
Arab Tunisian Bank (ATB),133,2004-07-07,2318988
Arab Banking Corporation (ABC),47,2022-02-23,912787
Banque de l'Habitat (BH),43,2014-08-19,528771
Arab Banking Corporation (ABC),63,2011-01-06,1039248
Banque Internationale Arabe de Tunisie (BIAT),136,2011-08-13,1897880
Banque Tuniso-Libyenne (BTL),136,2020-10-08,1403520
Arab Banking Corporation (ABC),74,2003-09-06,1404742
Arab Tunisian Bank (ATB),60,2016-09-27,797460
Banque de l'Habitat (BH),66,2011-08-23,1129788
Arab Banking Corporation (ABC),144,2020-03-29,1480896
Banque Internationale Arabe de Tunisie (BIAT),150,2009-07-19,2583000
Arab Banking Corporation (ABC),52,2021-06-01,636636
Amen Bank (AB),129,2016-07-27,1309737
Banque Tuniso-Libyenne (BTL),100,2016-02-03,1293800
Banque Nationale Agricole (BNA),82,2004-10-25,1392606
Banque Tuniso-Libyenne (BTL),160,2008-08-16,2798080
Banque de Tunisie (BT),102,2009-01-02,1263678
Arab Tunisian Bank (ATB),42,2023-07-14,460656
Arab Banking Corporation (ABC),195,2020-07-13,3570060
Banque de l'Habitat (BH),158,2017-05-21,2891242
Banque Internationale Arabe de Tunisie (BIAT),68,2007-07-16,811852
Banque de l'Habitat (BH),50,2008-03-08,866450
La Poste Tunisienne,87,2004-11-01,915588
Banque de l'Habitat (BH),156,2022-11-12,2602704
Attijari Bank,195,2007-09-18,3328455
Banque Internationale Arabe de Tunisie (BIAT),177,2021-03-06,2732880
Banque de Tunisie (BT),198,2008-04-17,3443418
Banque Nationale Agricole (BNA),173,2008-08-28,2336884
La Poste Tunisienne,46,2017-06-13,785588
Amen Bank (AB),65,2003-04-30,803270
Banque Nationale Agricole (BNA),108,2019-03-04,2159136
Amen Bank (AB),96,2003-12-04,1436160
La Poste Tunisienne,76,2018-01-24,1116896
Banque Internationale Arabe de Tunisie (BIAT),55,2003-12-25,641850
Banque Tuniso-Libyenne (BTL),186,2007-01-08,3552972
Banque Nationale Agricole (BNA),86,2002-05-19,1693426
Arab Tunisian Bank (ATB),188,2010-02-26,2807404
Attijari Bank,93,2002-03-17,1658748
Banque Internationale Arabe de Tunisie (BIAT),64,2014-06-22,824384
Arab Banking Corporation (ABC),158,2005-01-14,2138214
Banque de l'Habitat (BH),37,2009-11-01,452214
Arab Banking Corporation (ABC),189,2022-11-30,3154410
Banque de Tunisie (BT),165,2002-02-26,1991715
Amen Bank (AB),36,2005-09-06,647820
La Poste Tunisienne,180,2017-05-12,2017080
Banque Tuniso-Libyenne (BTL),121,2010-10-25,2393380
Arab Tunisian Bank (ATB),153,2009-11-28,2610027
La Poste Tunisienne,93,2014-06-08,1487907
Arab Tunisian Bank (ATB),153,2019-01-16,2501703
Banque de l'Habitat (BH),35,2015-03-10,505400
Amen Bank (AB),41,2018-04-22,436650
Banque Tuniso-Libyenne (BTL),182,2005-06-20,3332784
La Poste Tunisienne,186,2022-03-24,2375034
Banque Internationale Arabe de Tunisie (BIAT),146,2001-12-09,1733020
Banque Tuniso-Libyenne (BTL),180,2008-10-22,2033100
Arab Banking Corporation (ABC),42,2011-12-05,481530
Amen Bank (AB),157,2009-03-04,2406653
Banque Nationale Agricole (BNA),35,2002-04-19,553980
Banque Internationale Arabe de Tunisie (BIAT),164,2019-03-31,2843432
Banque Nationale Agricole (BNA),174,2023-11-30,3417708
Banque de l'Habitat (BH),127,2022-08-26,1873377
Banque Nationale Agricole (BNA),167,2007-04-29,2081989
Banque Nationale Agricole (BNA),20,2011-07-12,373800
Banque de l'Habitat (BH),129,2005-02-10,1738404
Arab Banking Corporation (ABC),177,2013-08-04,2198871
Amen Bank (AB),22,2006-08-11,282128
Arab Tunisian Bank (ATB),102,2014-02-10,1877412
Arab Banking Corporation (ABC),189,2020-12-18,3691170
Banque Tuniso-Libyenne (BTL),41,2019-08-08,796671
Arab Banking Corporation (ABC),123,2011-10-24,1851396
Arab Tunisian Bank (ATB),198,2023-03-31,2307888
Attijari Bank,169,2006-03-26,2245841
Banque de l'Habitat (BH),134,2010-11-13,2096162
Attijari Bank,84,2007-03-12,1111992
Amen Bank (AB),91,2005-10-22,1067066
La Poste Tunisienne,93,2015-10-05,1832844
Attijari Bank,103,2007-10-22,1673441
Banque Tuniso-Libyenne (BTL),198,2007-02-06,3679038
Amen Bank (AB),144,2018-06-14,1760976
Banque Nationale Agricole (BNA),155,2004-12-03,2979720
Arab Banking Corporation (ABC),170,2009-01-29,1966050
Banque Nationale Agricole (BNA),92,2012-05-28,1248716
Banque Internationale Arabe de Tunisie (BIAT),84,2008-12-30,1354836
Banque de l'Habitat (BH),169,2019-10-12,3106727
La Poste Tunisienne,68,2016-01-03,1047608
Amen Bank (AB),96,2004-02-03,1230336
Banque Nationale Agricole (BNA),167,2013-04-20,2555434
Banque de l'Habitat (BH),171,2015-06-22,2845098
Attijari Bank,70,2019-08-02,881020
Banque Nationale Agricole (BNA),136,2003-11-28,2309824
La Poste Tunisienne,117,2016-08-16,2291679
Banque de l'Habitat (BH),128,2023-10-30,1309184
La Poste Tunisienne,114,2015-09-07,1471740
Banque de l'Habitat (BH),160,2008-01-09,2159520
Arab Banking Corporation (ABC),55,2021-07-14,914155
Amen Bank (AB),67,2010-04-24,977061
Banque Nationale Agricole (BNA),180,2013-05-28,3590280
Arab Banking Corporation (ABC),130,2016-10-02,1942720
Attijari Bank,177,2020-04-09,3331317
Arab Tunisian Bank (ATB),177,2009-05-07,3291492
Banque de Tunisie (BT),56,2002-06-15,707784
Attijari Bank,62,2020-05-06,743690
Attijari Bank,49,2009-05-16,823004
La Poste Tunisienne,198,2022-09-04,3612906
Banque Nationale Agricole (BNA),90,2022-03-31,1093320
Banque Internationale Arabe de Tunisie (BIAT),104,2009-07-05,1126320
Banque de Tunisie (BT),102,2018-11-14,1578144
Banque de l'Habitat (BH),87,2019-06-11,1205037
Arab Tunisian Bank (ATB),93,2005-05-19,1773975
Arab Banking Corporation (ABC),95,2002-06-16,1130025
Arab Tunisian Bank (ATB),126,2006-12-31,1285326
La Poste Tunisienne,32,2008-05-13,591744
Banque Nationale Agricole (BNA),139,2011-08-10,1676062
Arab Tunisian Bank (ATB),75,2022-06-03,881175
Banque de Tunisie (BT),61,2013-02-22,663985
Banque Tuniso-Libyenne (BTL),70,2011-11-05,941080
Banque Internationale Arabe de Tunisie (BIAT),139,2015-03-27,1854260
Banque Internationale Arabe de Tunisie (BIAT),174,2023-12-12,2031798
Attijari Bank,110,2000-09-15,1140260
Banque Nationale Agricole (BNA),157,2001-10-20,2582179
Banque de l'Habitat (BH),151,2023-10-09,2501919
Attijari Bank,164,2001-05-10,2330604
Banque Nationale Agricole (BNA),129,2022-10-06,2315937
Banque Tuniso-Libyenne (BTL),189,2023-10-29,3372327
Amen Bank (AB),180,2020-08-25,3419640
Banque Tuniso-Libyenne (BTL),192,2016-02-10,2899584
Banque de Tunisie (BT),135,2007-10-16,1432350
Banque de l'Habitat (BH),106,2003-05-02,1843234
Attijari Bank,127,2001-10-21,1650111
Banque Internationale Arabe de Tunisie (BIAT),25,2019-10-12,491400
Arab Banking Corporation (ABC),177,2005-11-19,3055197
Banque de l'Habitat (BH),126,2016-10-31,1915830
Arab Banking Corporation (ABC),108,2003-04-06,2141532
Banque de Tunisie (BT),165,2015-09-05,2851860
Banque de Tunisie (BT),55,2007-06-13,863665
Banque Tuniso-Libyenne (BTL),63,2003-02-09,990045
La Poste Tunisienne,199,2016-09-08,3724882
Banque de Tunisie (BT),95,2021-01-14,1233670
Arab Banking Corporation (ABC),167,2003-04-14,3255665
Banque Nationale Agricole (BNA),114,2022-10-07,1664058
Banque de Tunisie (BT),168,2003-01-24,1727712
Banque de Tunisie (BT),187,2006-09-30,2162094
La Poste Tunisienne,164,2020-06-29,3100748
Amen Bank (AB),56,2021-09-11,874832
Banque de Tunisie (BT),105,2003-04-01,1374240
Amen Bank (AB),146,2020-04-19,1934208
Attijari Bank,190,2018-12-12,3115050
Attijari Bank,84,2017-02-19,1284528
Banque Tuniso-Libyenne (BTL),102,2004-04-15,1767252
Attijari Bank,39,2016-12-22,608166
Amen Bank (AB),32,2022-06-14,361696
Banque Internationale Arabe de Tunisie (BIAT),113,2018-05-27,2150503
Attijari Bank,148,2022-01-14,2813924
Banque de l'Habitat (BH),126,2004-08-14,1653750
Banque de l'Habitat (BH),39,2007-04-03,532701
La Poste Tunisienne,157,2008-08-17,1743328
Banque de l'Habitat (BH),164,2018-07-09,3166840
Amen Bank (AB),162,2007-05-03,2833380
Banque de Tunisie (BT),81,2005-05-19,1466991
Arab Tunisian Bank (ATB),134,2001-09-14,1981726
Attijari Bank,49,2019-05-30,502152
Banque Tuniso-Libyenne (BTL),69,2021-04-24,1011402
La Poste Tunisienne,167,2015-05-08,2648787
Attijari Bank,41,2018-05-26,766167
Banque Tuniso-Libyenne (BTL),78,2016-01-21,1313832
Banque Tuniso-Libyenne (BTL),172,2003-06-17,3223968
Banque Tuniso-Libyenne (BTL),128,2023-07-10,1879168
Banque Nationale Agricole (BNA),104,2001-11-04,1780376
Banque de l'Habitat (BH),135,2005-04-15,1971540
Banque de Tunisie (BT),58,2017-11-18,865186
Arab Banking Corporation (ABC),89,2023-04-10,1256769
Arab Tunisian Bank (ATB),101,2017-09-21,1822949
Amen Bank (AB),156,2005-12-03,2155608
Banque de Tunisie (BT),194,2019-02-02,2352638
Attijari Bank,115,2018-06-05,2073795
Banque Internationale Arabe de Tunisie (BIAT),127,2001-04-11,1961896
Attijari Bank,114,2013-09-06,1911666
Attijari Bank,105,2012-11-17,1087590
Banque Nationale Agricole (BNA),185,2022-11-19,3235650
Arab Tunisian Bank (ATB),67,2018-11-06,1176319
Arab Tunisian Bank (ATB),138,2020-04-18,2548032
Banque Internationale Arabe de Tunisie (BIAT),74,2022-03-31,1023346
Attijari Bank,70,2009-05-01,1304450
Banque Internationale Arabe de Tunisie (BIAT),23,2015-06-05,287707
Banque Tuniso-Libyenne (BTL),159,2007-08-21,2962806
Banque Tuniso-Libyenne (BTL),147,2018-11-17,1840440
Banque Nationale Agricole (BNA),179,2009-11-06,2558626
Banque de l'Habitat (BH),131,2018-04-01,1964869
Banque de l'Habitat (BH),166,2009-09-24,2757592
Attijari Bank,46,2013-12-13,584798
Arab Banking Corporation (ABC),184,2021-10-09,2157584
Arab Banking Corporation (ABC),142,2002-01-08,1505058
Banque de Tunisie (BT),125,2019-06-20,1592875
Attijari Bank,82,2018-02-17,1393344
La Poste Tunisienne,41,2009-04-17,563750
Banque Internationale Arabe de Tunisie (BIAT),114,2002-07-25,1387266
Banque de Tunisie (BT),85,2017-02-17,933300
Banque de l'Habitat (BH),175,2001-03-27,2364775
Arab Tunisian Bank (ATB),64,2015-12-23,1137792
Banque Nationale Agricole (BNA),33,2002-02-13,571164
Banque de Tunisie (BT),166,2008-06-01,3113164
Attijari Bank,137,2017-12-09,1807441
Arab Tunisian Bank (ATB),87,2022-01-07,1206777
Arab Tunisian Bank (ATB),42,2016-04-26,471114
Banque Internationale Arabe de Tunisie (BIAT),143,2011-07-03,1934075
Amen Bank (AB),131,2008-06-03,1845135
Arab Banking Corporation (ABC),39,2008-10-10,448773
Banque Internationale Arabe de Tunisie (BIAT),139,2013-01-10,1520799
Arab Banking Corporation (ABC),74,2012-01-14,1072186
Arab Tunisian Bank (ATB),164,2005-06-18,2676808
Banque Tuniso-Libyenne (BTL),163,2011-02-06,1654124
Banque de l'Habitat (BH),195,2009-09-23,2407665
La Poste Tunisienne,178,2023-03-29,2844084
Attijari Bank,20,2002-08-17,306640
Banque de l'Habitat (BH),190,2010-10-31,1923750
Banque Internationale Arabe de Tunisie (BIAT),143,2017-03-17,2280707
Banque de Tunisie (BT),36,2012-05-14,562032
Banque Internationale Arabe de Tunisie (BIAT),80,2015-03-31,958560
Attijari Bank,125,2023-04-10,2136500
Amen Bank (AB),147,2002-01-14,1556436
Arab Tunisian Bank (ATB),194,2010-03-10,2266114
Banque de l'Habitat (BH),137,2002-09-09,1548237
Arab Tunisian Bank (ATB),126,2023-08-21,1684116
Banque de Tunisie (BT),130,2019-07-02,1762150
Banque Internationale Arabe de Tunisie (BIAT),20,2007-05-28,224620
Banque Nationale Agricole (BNA),85,2012-12-04,1075335
Banque de l'Habitat (BH),175,2013-03-29,2275350
Arab Tunisian Bank (ATB),54,2006-07-19,739368
Amen Bank (AB),42,2015-04-26,805140
Arab Banking Corporation (ABC),198,2006-09-18,2464308
Banque de Tunisie (BT),116,2019-09-10,1772712
Banque de Tunisie (BT),159,2016-02-01,3162033
Banque de l'Habitat (BH),129,2012-07-22,2495505
Arab Banking Corporation (ABC),112,2019-07-14,1384432
Banque Tuniso-Libyenne (BTL),135,2011-04-24,2342520
Banque Internationale Arabe de Tunisie (BIAT),180,2016-06-11,3305520
Amen Bank (AB),117,2017-12-20,1436058
Banque Tuniso-Libyenne (BTL),173,2003-07-31,2664719
Amen Bank (AB),138,2005-06-26,1413672
Banque Internationale Arabe de Tunisie (BIAT),46,2006-10-26,642344
Amen Bank (AB),153,2005-06-03,2971719
Attijari Bank,165,2013-08-13,2243505
Banque de Tunisie (BT),118,2020-05-24,1540018
Banque de l'Habitat (BH),186,2019-10-28,3457554
Banque Tuniso-Libyenne (BTL),24,2004-10-16,293184
Banque de Tunisie (BT),195,2009-09-04,3015480
Banque de Tunisie (BT),70,2010-03-20,1090530
Banque Nationale Agricole (BNA),134,2001-08-26,1807258
Banque de l'Habitat (BH),192,2005-05-14,3389952
La Poste Tunisienne,129,2005-07-15,1501818
Banque Nationale Agricole (BNA),47,2008-06-01,723800
Arab Banking Corporation (ABC),84,2005-12-06,1521744
Banque de Tunisie (BT),150,2002-11-13,2867550
La Poste Tunisienne,86,2006-02-24,1098220
Arab Banking Corporation (ABC),168,2012-11-03,1929816
Attijari Bank,76,2022-07-20,1475768
Amen Bank (AB),50,2018-09-30,683100
Attijari Bank,48,2011-05-12,551808
La Poste Tunisienne,116,2009-08-17,1365900
Arab Banking Corporation (ABC),47,2000-07-07,882754
Banque Tuniso-Libyenne (BTL),67,2021-08-06,1037629
Banque Tuniso-Libyenne (BTL),82,2009-12-23,901672
Amen Bank (AB),120,2010-06-03,1426440
Attijari Bank,94,2009-05-02,1540942
Banque de l'Habitat (BH),125,2002-01-05,1405250
Banque Tuniso-Libyenne (BTL),192,2020-07-12,2656128
Arab Tunisian Bank (ATB),54,2018-04-24,642546
Amen Bank (AB),137,2022-07-02,1864844
Amen Bank (AB),82,2019-04-25,1542994
Attijari Bank,48,2006-04-28,592032
La Poste Tunisienne,156,2012-10-23,1982604
Amen Bank (AB),150,2023-11-24,2299350
Arab Banking Corporation (ABC),81,2010-09-16,967302
Arab Tunisian Bank (ATB),178,2013-08-25,3444122
Amen Bank (AB),134,2009-12-31,1669640
Banque Nationale Agricole (BNA),125,2019-06-29,2211625
La Poste Tunisienne,37,2006-09-01,722869
Banque de l'Habitat (BH),169,2005-03-10,2209168
La Poste Tunisienne,58,2011-08-17,1056470
Banque Tuniso-Libyenne (BTL),102,2021-02-21,1109148
Amen Bank (AB),192,2023-04-29,3458496
Banque Nationale Agricole (BNA),57,2013-11-04,856425
Amen Bank (AB),127,2011-01-29,2141093
Arab Banking Corporation (ABC),192,2022-12-16,3728448
Banque Tuniso-Libyenne (BTL),128,2020-10-28,1537408
Banque Internationale Arabe de Tunisie (BIAT),93,2001-02-06,1736217
Attijari Bank,67,2012-01-26,840381
Arab Tunisian Bank (ATB),132,2017-02-12,2432892
La Poste Tunisienne,105,2013-11-23,1176000
La Poste Tunisienne,103,2014-11-13,1416765
Attijari Bank,82,2013-05-01,1416304
Attijari Bank,144,2011-03-02,2343168
La Poste Tunisienne,66,2021-02-20,1054614
Banque Nationale Agricole (BNA),175,2020-03-27,2863525
Banque de l'Habitat (BH),119,2014-01-17,1291031
Banque Internationale Arabe de Tunisie (BIAT),69,2003-03-13,1260699
Banque Tuniso-Libyenne (BTL),32,2021-01-02,446624
Arab Banking Corporation (ABC),132,2022-12-19,1642872
Arab Banking Corporation (ABC),42,2001-12-12,677586
Banque de Tunisie (BT),117,2018-03-02,2087865
Amen Bank (AB),26,2008-02-12,352872
Banque de l'Habitat (BH),160,2004-12-05,2532640
Amen Bank (AB),105,2006-11-04,1698060
Banque Internationale Arabe de Tunisie (BIAT),193,2009-01-23,3140110
Attijari Bank,160,2003-03-02,2383520
La Poste Tunisienne,143,2017-11-27,2069782
Arab Banking Corporation (ABC),127,2023-08-31,1813052
Banque Internationale Arabe de Tunisie (BIAT),65,2015-03-14,714285
Banque Tuniso-Libyenne (BTL),194,2004-06-23,3082466
La Poste Tunisienne,100,2014-04-01,1439700
Banque Tuniso-Libyenne (BTL),177,2020-09-08,1848411
Banque Internationale Arabe de Tunisie (BIAT),177,2011-07-23,2253387
Banque de Tunisie (BT),149,2000-07-18,1579400
Amen Bank (AB),146,2018-10-17,2301690
Banque Internationale Arabe de Tunisie (BIAT),79,2010-06-28,1189661
Attijari Bank,48,2003-01-13,947376
Banque de l'Habitat (BH),125,2006-09-27,1937250
La Poste Tunisienne,185,2015-04-12,3686125
Attijari Bank,38,2006-12-08,749892
Banque Tuniso-Libyenne (BTL),112,2012-10-17,1693664
Banque de Tunisie (BT),66,2019-06-02,1002672
Arab Banking Corporation (ABC),120,2005-09-12,2004240
Arab Banking Corporation (ABC),157,2021-08-09,1735792
Banque de Tunisie (BT),173,2021-02-16,2570780
Arab Tunisian Bank (ATB),44,2009-09-04,801724
Arab Banking Corporation (ABC),145,2008-12-07,2726870
Banque Tuniso-Libyenne (BTL),128,2010-03-06,1938176
La Poste Tunisienne,104,2016-08-03,1711216
Banque de l'Habitat (BH),47,2018-04-02,866586
Amen Bank (AB),47,2022-09-23,862403
Arab Tunisian Bank (ATB),63,2013-02-26,877338
Banque Nationale Agricole (BNA),197,2019-12-10,2335041
La Poste Tunisienne,93,2010-10-31,1677813
Attijari Bank,46,2022-05-26,483368
Amen Bank (AB),193,2013-09-30,2529458
Banque Tuniso-Libyenne (BTL),154,2016-03-16,2334948
Amen Bank (AB),107,2004-06-11,1299301
Arab Tunisian Bank (ATB),22,2005-04-14,328680
Attijari Bank,133,2009-01-26,1487738
Arab Tunisian Bank (ATB),72,2018-09-23,1030320
Banque Tuniso-Libyenne (BTL),120,2002-10-15,1378920
Banque de Tunisie (BT),186,2020-08-07,2396052
Banque Internationale Arabe de Tunisie (BIAT),66,2007-01-19,1197966
La Poste Tunisienne,103,2002-11-14,1676119
Amen Bank (AB),81,2021-10-28,972810
Banque de l'Habitat (BH),176,2019-03-05,2445520
Banque Tuniso-Libyenne (BTL),102,2016-05-29,1776942
Banque Tuniso-Libyenne (BTL),150,2002-10-11,1677900
Banque Internationale Arabe de Tunisie (BIAT),84,2005-08-08,855372
La Poste Tunisienne,110,2012-03-29,1799050
Banque de l'Habitat (BH),177,2014-03-18,3270429
Banque de l'Habitat (BH),146,2005-06-04,1551396
Amen Bank (AB),60,2010-01-17,841980
Arab Tunisian Bank (ATB),81,2016-05-07,1535193
Amen Bank (AB),77,2020-03-01,1405866
Banque de l'Habitat (BH),31,2019-07-19,503316
Banque Tuniso-Libyenne (BTL),46,2003-07-31,589628
La Poste Tunisienne,64,2023-03-22,938112
Banque de Tunisie (BT),178,2011-01-08,2837676
Banque de l'Habitat (BH),164,2016-08-24,2397188
Banque de Tunisie (BT),73,2018-04-29,1354369
Arab Banking Corporation (ABC),169,2006-08-29,2483793
Banque de Tunisie (BT),76,2017-03-14,897712
Banque Tuniso-Libyenne (BTL),159,2013-06-30,3050256
Amen Bank (AB),172,2018-12-14,3094280
Banque Tuniso-Libyenne (BTL),142,2006-08-01,1962440
Arab Banking Corporation (ABC),67,2017-04-04,921518
Arab Banking Corporation (ABC),71,2015-04-23,1025382
Banque Nationale Agricole (BNA),101,2016-08-27,1701951
Attijari Bank,184,2002-03-05,2504240
Banque Internationale Arabe de Tunisie (BIAT),131,2007-03-30,2567076
Banque Internationale Arabe de Tunisie (BIAT),32,2019-04-23,343296
Arab Banking Corporation (ABC),164,2023-04-08,2159552
Banque de l'Habitat (BH),168,2006-09-14,2577120
Banque Internationale Arabe de Tunisie (BIAT),179,2022-10-27,1913868
Banque Internationale Arabe de Tunisie (BIAT),58,2005-09-11,1123054
La Poste Tunisienne,118,2011-12-21,2249906
La Poste Tunisienne,138,2012-08-10,1852098
Banque Nationale Agricole (BNA),105,2009-05-04,1302840
Arab Banking Corporation (ABC),198,2001-01-23,3925548
Banque de l'Habitat (BH),181,2020-01-08,2733462
Banque Internationale Arabe de Tunisie (BIAT),194,2014-09-17,2480678
Banque Internationale Arabe de Tunisie (BIAT),84,2008-02-25,1664880
Banque Tuniso-Libyenne (BTL),35,2021-01-01,500780
Banque Internationale Arabe de Tunisie (BIAT),147,2008-06-09,1981119
Banque Nationale Agricole (BNA),72,2022-07-18,1151640
Banque Tuniso-Libyenne (BTL),108,2012-11-02,1565460
Attijari Bank,131,2001-06-28,2336516
Attijari Bank,78,2005-10-19,1430988
Arab Banking Corporation (ABC),164,2019-12-11,2837364
Arab Tunisian Bank (ATB),20,2021-01-15,386720
Banque Nationale Agricole (BNA),126,2001-01-23,1715868
Attijari Bank,172,2020-07-25,2349692
Banque Nationale Agricole (BNA),189,2010-04-26,3500280
Banque Internationale Arabe de Tunisie (BIAT),91,2022-05-13,1082718
Banque de l'Habitat (BH),21,2006-08-01,260589
Banque Nationale Agricole (BNA),164,2022-10-04,2314860
Banque Internationale Arabe de Tunisie (BIAT),43,2001-02-02,548551
Attijari Bank,145,2006-04-20,1540915
Banque Tuniso-Libyenne (BTL),160,2005-07-23,1937920
Arab Banking Corporation (ABC),73,2019-08-13,1225889
Banque Tuniso-Libyenne (BTL),166,2008-06-22,2701152
Banque de l'Habitat (BH),125,2014-05-22,2239375
Banque Tuniso-Libyenne (BTL),137,2001-10-25,2186657
La Poste Tunisienne,102,2016-03-07,1834470
Amen Bank (AB),184,2022-05-26,2378384
Arab Tunisian Bank (ATB),87,2020-12-01,1572438
Banque Tuniso-Libyenne (BTL),120,2015-07-21,2241960
La Poste Tunisienne,123,2017-11-12,2014125
Banque Nationale Agricole (BNA),165,2011-12-10,2452395
Banque Internationale Arabe de Tunisie (BIAT),146,2004-05-06,2654718
Banque de Tunisie (BT),135,2013-09-02,1551555
Banque de Tunisie (BT),106,2015-09-07,1459726
Banque Tuniso-Libyenne (BTL),55,2006-05-02,643775
Banque Nationale Agricole (BNA),54,2002-07-31,1029888
Amen Bank (AB),24,2018-07-29,280632
Attijari Bank,114,2011-11-06,2153688
La Poste Tunisienne,62,2011-12-23,967076
Banque Internationale Arabe de Tunisie (BIAT),73,2005-06-05,1141501
Banque Internationale Arabe de Tunisie (BIAT),117,2020-11-09,1187433
Attijari Bank,139,2001-02-16,1772806
Arab Tunisian Bank (ATB),35,2006-12-09,412755
La Poste Tunisienne,47,2007-05-06,898170
La Poste Tunisienne,89,2019-10-18,1036672
Banque Tuniso-Libyenne (BTL),107,2019-08-10,2139358
Banque Tuniso-Libyenne (BTL),141,2017-06-24,2694228
Amen Bank (AB),33,2010-12-02,383031
Banque Nationale Agricole (BNA),139,2014-02-14,2544256
Arab Tunisian Bank (ATB),77,2004-03-10,1289442
Banque Internationale Arabe de Tunisie (BIAT),40,2015-05-15,672280
Banque Nationale Agricole (BNA),174,2014-10-25,1841616
Banque de l'Habitat (BH),115,2001-08-13,1150460
Banque de Tunisie (BT),163,2015-07-10,2705148
Banque de Tunisie (BT),186,2014-12-19,2529972
Amen Bank (AB),102,2015-03-07,1295094
Banque Internationale Arabe de Tunisie (BIAT),125,2012-01-01,1947750
Banque de Tunisie (BT),186,2004-08-03,1895154
